Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),,Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle),,,,,
Nedd4,1.27,0.01,,1.49,0.00,,,,,
Nedd8,-1.08,0.08,,-1.16,0.00,,,,,
Nefh,1.27,0.03,,1.25,0.04,,,,,
Nefl,1.32,0.03,,1.27,0.04,,,,,
Nefm,1.19,0.09,,1.28,0.02,,,,,
Neil1,1.03,0.92,,1.03,0.73,,,,,
Nek9,1.33,0.01,,1.45,0.00,,,,,
Nelfa,1.16,0.03,,1.05,0.46,,,,,
Nelfb,1.08,0.19,,1.04,0.48,,,,,
Nelfcd,1.17,0.02,,1.09,0.15,,,,,
Nelfe,1.04,0.36,,-1.14,0.01,,,,,
Nell2,1.19,0.03,,1.16,0.06,,,,,
Nenf,-1.30,0.00,,-1.36,0.00,,,,,
Nes,1.78,0.00,,1.55,0.00,,,,,
Net1,1.63,0.01,,1.36,0.05,,,,,
Neu1,1.04,0.50,,-1.12,0.06,,,,,
Neurl2,1.19,0.02,,-1.21,0.02,,,,,
Neurl4,1.29,0.00,,1.32,0.00,,,,,
Neurod1,1.23,0.04,,1.38,0.00,,,,,
Neurod2,1.45,0.01,,1.24,0.10,,,,,
Neurod6,1.24,0.04,,1.17,0.10,,,,,
Nf2,1.36,0.00,,1.39,0.00,,,,,
Nfasc,1.43,0.01,,1.54,0.00,,,,,
Nfkbia,1.70,0.00,,1.02,0.67,,,,,
Nfkbib,-1.11,0.11,,-1.18,0.03,,,,,
Nfrkb,1.52,0.00,,1.45,0.00,,,,,
Nfyb,1.06,0.27,,1.07,0.25,,,,,
Ngb,-1.40,0.12,,-1.41,0.17,,,,,
Ngdn,-1.09,0.28,,-1.19,0.06,,,,,
Ngef,-1.11,0.25,,1.02,0.83,,,,,
Ngrn,-1.01,0.89,,1.01,0.84,,,,,
Nhlh1,1.14,0.27,,1.27,0.13,,,,,
Nhlrc1,1.23,0.02,,1.22,0.02,,,,,
Nhp2l1,-1.03,0.59,,-1.06,0.21,,,,,
Nicn1,1.11,0.03,,1.11,0.03,,,,,
Nifk,1.21,0.02,,1.41,0.00,,,,,
Ninj1,-1.15,0.05,,-1.18,0.02,,,,,
Nip7,1.06,0.28,,1.20,0.01,,,,,
Nipsnap1,1.06,0.19,,1.11,0.03,,,,,
Nit1,-1.01,0.95,,-1.09,0.41,,,,,
Nit2,1.16,0.05,,1.14,0.09,,,,,
Nkiras1,1.22,0.03,,1.38,0.00,,,,,
Nkiras2,1.09,0.26,,1.02,0.76,,,,,
Nkx2-2,-1.23,0.05,,-1.20,0.08,,,,,
Nkx6-2,1.08,0.38,,-1.46,0.00,,,,,
Nlgn2,1.43,0.00,,1.50,0.00,,,,,
Nlgn3,1.53,0.00,,1.73,0.00,,,,,
Nmb,1.09,0.60,,-1.26,0.25,,,,,
Nme1,-1.19,0.00,,-1.20,0.00,,,,,
Nme2,-1.19,0.00,,-1.30,0.00,,,,,
Nme3,-1.25,0.00,,-1.38,0.00,,,,,
Nmt1,1.42,0.00,,1.44,0.00,,,,,
Nnat,-1.24,0.00,,-1.24,0.01,,,,,
Noa1,-1.01,0.89,,1.12,0.06,,,,,
Nob1,1.02,0.57,,-1.03,0.45,,,,,
Noc2l,1.30,0.01,,1.28,0.01,,,,,
Noc4l,1.03,0.58,,-1.03,0.56,,,,,
Noct,1.11,0.21,,1.33,0.00,,,,,
Nog,-1.15,0.04,,-1.04,0.52,,,,,
Nol12,-1.01,0.80,,-1.14,0.04,,,,,
Nol3,1.08,0.11,,-1.09,0.08,,,,,
Nolc1,1.19,0.02,,1.28,0.00,,,,,
Nomo1,1.17,0.03,,1.22,0.01,,,,,
Nono,1.15,0.03,,1.24,0.00,,,,,
Nop10,-1.17,0.01,,-1.23,0.00,,,,,
Nop16,-1.11,0.02,,-1.08,0.09,,,,,
Nop2,1.00,0.93,,-1.00,0.99,,,,,
Nop56,1.14,0.06,,1.12,0.09,,,,,
Nop58,1.23,0.04,,1.50,0.00,,,,,
Nop9,1.17,0.03,,1.12,0.11,,,,,
Nosip,-1.08,0.28,,-1.32,0.00,,,,,
Nov,-1.20,0.54,,1.40,0.09,,,,,
Npas1,1.24,0.03,,-1.00,0.97,,,,,
Npb,1.14,0.16,,-1.25,0.02,,,,,
Npc1,1.35,0.01,,1.31,0.01,,,,,
Npc2,-1.15,0.09,,-1.27,0.01,,,,,
Npdc1,-1.02,0.72,,-1.13,0.01,,,,,
Npepps,1.22,0.01,,1.38,0.00,,,,,
Nploc4,1.28,0.00,,1.26,0.01,,,,,
Npm1,1.09,0.30,,1.32,0.01,,,,,
Nppa,-1.05,0.57,,-1.07,0.51,,,,,
Nppc,-1.32,0.01,,-1.13,0.21,,,,,
Npr2,1.40,0.00,,1.36,0.01,,,,,
Nprl2,1.06,0.37,,1.16,0.04,,,,,
Nptn,1.13,0.14,,1.41,0.00,,,,,
Nptx1,1.32,0.02,,1.37,0.01,,,,,
Nptx2,1.51,0.00,,1.11,0.29,,,,,
Nptxr,1.30,0.03,,1.26,0.05,,,,,
Npy1r,1.16,0.20,,1.90,0.00,,,,,
Npy2r,1.33,0.09,,1.38,0.05,,,,,
Nr1d1,1.01,0.92,,1.13,0.11,,,,,
Nr1d2,1.18,0.15,,1.52,0.00,,,,,
Nr1h2,1.06,0.25,,-1.15,0.02,,,,,
Nr1i3,-1.06,0.45,,1.00,0.97,,,,,
Nr2c2ap,-1.05,0.47,,-1.20,0.02,,,,,
Nr2f1,1.14,0.05,,1.06,0.37,,,,,
Nr2f2,1.09,0.36,,1.21,0.06,,,,,
Nr2f6,1.01,0.91,,-1.25,0.00,,,,,
Nr4a1,1.25,0.00,,1.37,0.00,,,,,
Nr4a2,1.07,0.51,,1.71,0.00,,,,,
Nr4a3,1.55,0.00,,1.76,0.00,,,,,
Nrarp,1.15,0.10,,1.03,0.68,,,,,
Nras,1.55,0.00,,1.73,0.00,,,,,
Nrbp1,1.10,0.05,,1.09,0.09,,,,,
Nrbp2,1.55,0.00,,1.29,0.03,,,,,
Nrdc,1.31,0.01,,1.49,0.00,,,,,
Nrgn,-1.09,0.16,,-1.32,0.00,,,,,
Nrip3,1.32,0.01,,1.35,0.01,,,,,
Nrn1,1.04,0.52,,1.04,0.55,,,,,
Nrsn1,1.15,0.05,,1.35,0.00,,,,,
Nrsn2,-1.14,0.05,,-1.15,0.04,,,,,
Nrxn2,1.07,0.21,,1.08,0.16,,,,,
Ns5atp4,1.09,0.53,,1.11,0.35,,,,,
Nsa2,-1.02,0.64,,1.02,0.60,,,,,
Nsf,1.37,0.01,,1.45,0.00,,,,,
Nsfl1c,-1.06,0.18,,-1.11,0.02,,,,,
Nsg1,1.02,0.60,,1.04,0.28,,,,,
Nsg2,1.02,0.67,,1.15,0.01,,,,,
Nsmce3,-1.08,0.15,,-1.14,0.02,,,,,
Nsmce4a,1.24,0.03,,1.25,0.03,,,,,
Nsmf,1.22,0.02,,1.10,0.21,,,,,
Nsun2,1.17,0.02,,1.21,0.01,,,,,
Nsun5,1.06,0.42,,1.05,0.46,,,,,
Nt5c3b,1.01,0.86,,-1.05,0.39,,,,,
Nt5dc3,2.21,0.00,,2.17,0.00,,,,,
Ntan1,1.02,0.83,,1.12,0.24,,,,,
Ntmt1,-1.18,0.03,,-1.20,0.02,,,,,
Ntn3,1.44,0.01,,1.51,0.00,,,,,
Ntpcr,-1.06,0.26,,-1.20,0.00,,,,,
Ntrk2,1.43,0.01,,1.60,0.00,,,,,
Ntsr2,-1.12,0.17,,-1.18,0.05,,,,,
Nub1,1.17,0.01,,1.18,0.01,,,,,
Nubp1,-1.17,0.01,,-1.12,0.06,,,,,
Nubp2,1.05,0.26,,-1.08,0.09,,,,,
Nucb1,1.04,0.35,,-1.02,0.61,,,,,
Nucks1,1.31,0.01,,1.53,0.00,,,,,
Nudc,-1.06,0.15,,-1.16,0.00,,,,,
Nudcd2,1.02,0.73,,1.06,0.51,,,,,
Nudt14,-1.20,0.03,,-1.42,0.00,,,,,
Nudt16,1.05,0.40,,-1.07,0.24,,,,,
Nudt16l1,-1.07,0.12,,-1.18,0.00,,,,,
Nudt18,-1.02,0.71,,-1.05,0.35,,,,,
Nudt19,-1.03,0.69,,-1.07,0.45,,,,,
Nudt2,-1.04,0.34,,-1.13,0.02,,,,,
Nudt21,1.28,0.01,,1.34,0.00,,,,,
Nudt22,1.04,0.53,,-1.25,0.00,,,,,
Nudt3,1.02,0.61,,-1.03,0.47,,,,,
Nudt4,1.16,0.05,,1.33,0.00,,,,,
Nudt9,-1.08,0.13,,-1.13,0.02,,,,,
Numa1,1.72,0.00,,1.74,0.00,,,,,
Numbl,1.23,0.03,,1.15,0.12,,,,,
Nup50,1.38,0.01,,1.61,0.00,,,,,
Nup62,-1.04,0.51,,1.09,0.21,,,,,
Nupr2,-1.10,0.34,,-1.36,0.03,,,,,
Nus1,1.13,0.14,,1.45,0.00,,,,,
Nutf2,1.03,0.55,,1.06,0.21,,,,,
Nxf1,1.53,0.00,,1.58,0.00,,,,,
Nxph3,-1.80,0.15,,1.26,0.56,,,,,
Nxt1,-1.22,0.02,,-1.11,0.24,,,,,
Nyap1,1.23,0.03,,1.25,0.02,,,,,
Oaf,-1.09,0.32,,-1.06,0.46,,,,,
Oat,1.02,0.70,,1.09,0.11,,,,,
Oaz1,-1.10,0.02,,-1.21,0.00,,,,,
Oaz2,1.03,0.44,,-1.04,0.34,,,,,
Ocel1,-1.12,0.07,,-1.31,0.00,,,,,
Ociad1,-1.03,0.56,,1.01,0.91,,,,,
Ociad2,-1.02,0.84,,1.20,0.02,,,,,
Odc1,1.15,0.04,,1.11,0.09,,,,,
Ogdh,1.47,0.00,,1.53,0.00,,,,,
Ogdhl,1.10,0.11,,1.16,0.02,,,,,
Ogfod2,-1.01,0.77,,-1.10,0.19,,,,,
Ogfr,1.02,0.60,,-1.04,0.43,,,,,
Ogfrl1,1.64,0.00,,1.98,0.00,,,,,
Ogt,1.52,0.00,,2.00,0.00,,,,,
Olfm1,1.05,0.37,,1.03,0.60,,,,,
Olfml1,1.40,0.01,,1.50,0.00,,,,,
Olfml3,1.46,0.19,,1.12,0.61,,,,,
Olig1,1.20,0.05,,-1.03,0.75,,,,,
Olig2,1.80,0.00,,1.09,0.32,,,,,
Olr1462,1.03,0.83,,-1.11,0.86,,,,,
Omg,1.18,0.05,,1.43,0.00,,,,,
Opa3,1.41,0.01,,1.37,0.01,,,,,
Opalin,1.37,0.01,,1.18,0.10,,,,,
Oplah,1.21,0.03,,1.13,0.15,,,,,
Oprl1,1.13,0.23,,1.64,0.00,,,,,
Optn,1.40,0.01,,1.55,0.00,,,,,
Orai2,1.37,0.01,,1.38,0.00,,,,,
Orai3,-1.08,0.33,,1.00,0.98,,,,,
Oraov1,1.08,0.19,,1.18,0.01,,,,,
Ormdl2,1.07,0.14,,-1.07,0.14,,,,,
Ormdl3,1.38,0.00,,1.25,0.01,,,,,
Os9,1.09,0.06,,1.11,0.03,,,,,
Osbp,1.17,0.03,,1.34,0.00,,,,,
Osbpl2,1.14,0.07,,1.27,0.00,,,,,
Osbpl7,1.17,0.04,,1.06,0.42,,,,,
Osgep,-1.11,0.14,,-1.10,0.18,,,,,
Osr1,1.66,0.01,,1.08,0.58,,,,,
Ost4,-1.19,0.01,,-1.18,0.01,,,,,
Ostc,-1.06,0.38,,-1.03,0.58,,,,,
Ostm1,1.44,0.00,,1.55,0.00,,,,,
Otub1,-1.09,0.06,,-1.17,0.00,,,,,
Otub2,1.12,0.10,,1.22,0.01,,,,,
Otud5,1.19,0.00,,1.14,0.02,,,,,
Otud6b,1.51,0.00,,1.75,0.00,,,,,
Ovca2,1.04,0.58,,1.08,0.26,,,,,
Oxa1l,1.01,0.82,,-1.06,0.18,,,,,
Oxct1,1.16,0.10,,1.49,0.00,,,,,
Oxld1,-1.28,0.00,,-1.31,0.00,,,,,
Oxsm,1.30,0.00,,1.36,0.00,,,,,
P2ry12,-1.03,0.70,,1.11,0.16,,,,,
P2ry13,1.16,0.51,,1.51,0.03,,,,,
P3h3,1.25,0.01,,1.13,0.11,,,,,
P3h4,-1.05,0.59,,-1.17,0.11,,,,,
P4hb,1.09,0.11,,1.09,0.11,,,,,
Pa2g4,1.07,0.26,,1.10,0.12,,,,,
Pabpc1,1.45,0.00,,1.43,0.00,,,,,
Pabpc4,1.27,0.00,,1.30,0.00,,,,,
Pabpn1,1.15,0.03,,1.09,0.16,,,,,
Pacsin1,1.89,0.00,,1.90,0.00,,,,,
Pacsin3,1.04,0.76,,-1.07,0.41,,,,,
Padi2,1.35,0.01,,1.27,0.04,,,,,
Paf1,1.01,0.72,,-1.01,0.77,,,,,
Pafah1b1,1.51,0.00,,2.11,0.00,,,,,
Pafah1b2,1.32,0.00,,1.59,0.00,,,,,
Pafah1b3,-1.23,0.06,,-1.20,0.11,,,,,
Pagr1,1.07,0.18,,1.02,0.61,,,,,
Paics,1.17,0.03,,1.08,0.24,,,,,
Paip1,1.15,0.16,,1.43,0.00,,,,,
Paip2,-1.01,0.85,,1.11,0.15,,,,,
Pak1,1.16,0.09,,1.31,0.01,,,,,
Pak6,1.41,0.01,,1.61,0.00,,,,,
Palm,1.04,0.51,,1.03,0.67,,,,,
Pam,1.20,0.01,,1.28,0.00,,,,,
Pam16,-1.25,0.00,,-1.40,0.00,,,,,
Pank3,1.39,0.01,,2.03,0.00,,,,,
Pank4,1.19,0.01,,1.25,0.00,,,,,
Panx2,1.22,0.01,,1.19,0.02,,,,,
Papd7,1.07,0.39,,1.27,0.01,,,,,
Papola,1.29,0.01,,1.57,0.00,,,,,
Paqr3,1.24,0.01,,1.47,0.00,,,,,
Paqr4,-1.00,0.98,,-1.04,0.42,,,,,
Paqr6,1.00,0.90,,-1.17,0.20,,,,,
Paqr7,1.13,0.18,,1.08,0.35,,,,,
Paqr8,1.97,0.00,,2.10,0.00,,,,,
Paqr9,1.38,0.00,,1.67,0.00,,,,,
Pard6a,-1.19,0.04,,-1.12,0.16,,,,,
Park7,-1.18,0.00,,-1.26,0.00,,,,,
Parp1,1.17,0.06,,1.25,0.01,,,,,
Parp6,1.15,0.02,,1.12,0.04,,,,,
Pars2,1.10,0.09,,1.01,0.86,,,,,
Patz1,1.10,0.06,,1.09,0.08,,,,,
Pbdc1,1.08,0.29,,1.10,0.19,,,,,
Pbx2,1.12,0.02,,1.18,0.00,,,,,
Pbxip1,1.13,0.28,,-1.03,0.93,,,,,
Pcbd1,-1.07,0.34,,-1.23,0.02,,,,,
Pcbp2,1.09,0.16,,1.09,0.14,,,,,
Pcbp4,1.01,0.83,,-1.15,0.02,,,,,
Pcdh20,1.48,0.01,,1.79,0.00,,,,,
Pcdh8,1.12,0.06,,1.21,0.01,,,,,
Pcdhb20,1.14,0.19,,1.38,0.00,,,,,
Pcdhb3,-1.07,0.87,,1.32,0.05,,,,,
Pcdhb4,1.15,0.33,,1.49,0.01,,,,,
Pcdhb5,1.30,0.08,,1.61,0.00,,,,,
Pcdhb8,-1.03,0.75,,1.21,0.22,,,,,
Pcdhb9,1.19,0.08,,1.45,0.00,,,,,
Pcdhgc3,1.14,0.11,,1.09,0.24,,,,,
Pced1a,1.28,0.02,,1.12,0.19,,,,,
Pcgf2,1.01,0.84,,1.06,0.64,,,,,
Pcif1,1.19,0.01,,1.07,0.24,,,,,
Pck2,1.05,0.30,,1.00,0.89,,,,,
Pcmt1,1.07,0.32,,1.22,0.01,,,,,
Pcmtd1,1.23,0.03,,1.39,0.00,,,,,
Pcmtd2,1.17,0.12,,1.52,0.00,,,,,
Pcna,1.10,0.34,,1.20,0.06,,,,,
Pcnp,1.26,0.02,,1.17,0.10,,,,,
Pcp4,-1.20,0.04,,-1.25,0.02,,,,,
Pcsk1n,-1.18,0.04,,-1.61,0.00,,,,,
Pcyox1,1.46,0.00,,1.68,0.00,,,,,
Pcyox1l,1.06,0.43,,1.05,0.47,,,,,
Pcyt2,1.08,0.19,,-1.05,0.44,,,,,
Pdap1,-1.10,0.04,,-1.14,0.01,,,,,
Pdcd2,-1.02,0.76,,-1.01,0.95,,,,,
Pdcd4,1.14,0.18,,1.39,0.00,,,,,
Pdcd6,1.05,0.32,,1.06,0.31,,,,,
Pdcd6ip,1.24,0.02,,1.34,0.00,,,,,
Pdcd7,1.01,0.89,,1.06,0.26,,,,,
Pdcl,1.23,0.02,,1.41,0.00,,,,,
Pdcl3,1.09,0.26,,1.15,0.07,,,,,
Pde1b,1.34,0.00,,1.45,0.00,,,,,
Pde2a,1.13,0.08,,1.24,0.00,,,,,
Pdgfra,1.53,0.00,,1.50,0.01,,,,,
Pdha1,1.09,0.30,,1.29,0.01,,,,,
Pdhb,-1.01,0.84,,1.08,0.16,,,,,
Pdia3,1.11,0.14,,1.25,0.01,,,,,
Pdia4,1.01,0.89,,1.18,0.05,,,,,
Pdia6,1.02,0.63,,1.08,0.10,,,,,
Pdk2,1.03,0.53,,-1.04,0.42,,,,,
Pdlim4,-1.18,0.08,,-1.35,0.00,,,,,
Pdlim7,-1.01,0.87,,-1.22,0.01,,,,,
Pdp1,1.29,0.03,,1.73,0.00,,,,,
Pdrg1,-1.06,0.28,,-1.20,0.01,,,,,
Pds5b,1.31,0.01,,1.79,0.00,,,,,
Pdxp,-1.07,0.17,,-1.10,0.07,,,,,
Pdyn,1.17,0.25,,1.16,0.27,,,,,
Pdzd11,-1.01,0.87,,1.03,0.71,,,,,
Pdzd3,1.03,0.78,,1.07,0.45,,,,,
Pdzd4,1.05,0.32,,1.11,0.05,,,,,
Pea15,1.01,0.90,,-1.00,0.96,,,,,
Pebp1,-1.15,0.01,,-1.33,0.00,,,,,
Pef1,-1.07,0.17,,-1.11,0.04,,,,,
Peg3,1.28,0.06,,1.85,0.00,,,,,
Pelo,-1.10,0.06,,-1.15,0.01,,,,,
Pelp1,1.24,0.01,,1.24,0.01,,,,,
Penk,-1.45,0.24,,-1.34,0.56,,,,,
Peo1,1.15,0.04,,1.25,0.00,,,,,
Per1,1.62,0.00,,1.69,0.00,,,,,
Per2,1.23,0.04,,1.62,0.00,,,,,
Pes1,1.07,0.25,,1.04,0.50,,,,,
Pet100,-1.23,0.05,,-1.14,0.13,,,,,
Pex10,1.06,0.35,,1.07,0.27,,,,,
Pex11b,1.00,0.97,,1.01,0.79,,,,,
Pex12,1.10,0.15,,1.31,0.00,,,,,
Pex16,-1.12,0.10,,-1.21,0.01,,,,,
Pex19,1.14,0.01,,1.15,0.01,,,,,
Pex26,1.10,0.22,,1.25,0.01,,,,,
Pex6,1.11,0.12,,1.06,0.35,,,,,
Pfas,1.49,0.00,,1.54,0.00,,,,,
Pfdn1,-1.12,0.08,,-1.12,0.08,,,,,
Pfdn2,-1.13,0.07,,-1.24,0.00,,,,,
Pfdn5,-1.16,0.02,,-1.27,0.00,,,,,
Pfdn6,-1.08,0.17,,-1.16,0.01,,,,,
Pfkl,1.13,0.12,,1.07,0.35,,,,,
Pfkm,1.12,0.04,,1.14,0.03,,,,,
Pfkp,1.19,0.01,,1.21,0.00,,,,,
Pfn1,-1.07,0.16,,-1.15,0.01,,,,,
Pfn2,1.11,0.23,,1.43,0.00,,,,,
Pgam1,1.03,0.44,,1.07,0.11,,,,,
Pgam5,-1.01,0.94,,1.11,0.06,,,,,
Pgbd5,1.33,0.01,,1.32,0.01,,,,,
Pgd,1.13,0.10,,1.01,0.78,,,,,
Pgk1,-1.01,0.85,,1.10,0.06,,,,,
Pgls,1.02,0.76,,-1.17,0.02,,,,,
Pgm2l1,1.25,0.06,,1.79,0.00,,,,,
Pgp,1.00,0.95,,-1.03,0.59,,,,,
Pgrmc1,-1.00,0.99,,1.29,0.01,,,,,
Pgrmc2,1.13,0.03,,1.20,0.00,,,,,
Phactr3,1.17,0.04,,1.06,0.40,,,,,
Phax,1.04,0.62,,1.03,0.70,,,,,
Phb,-1.13,0.01,,-1.21,0.00,,,,,
Phb2,-1.05,0.27,,-1.06,0.16,,,,,
Phc1,1.21,0.03,,1.26,0.01,,,,,
Phc2,1.05,0.38,,-1.02,0.79,,,,,
Phf1,-1.01,0.76,,-1.04,0.36,,,,,
Phf13,-1.12,0.05,,1.16,0.01,,,,,
Phf2,1.18,0.03,,1.30,0.00,,,,,
Phf23,-1.09,0.05,,-1.04,0.31,,,,,
Phf5a,-1.18,0.01,,-1.17,0.01,,,,,
Phgdh,-1.05,0.47,,-1.09,0.18,,,,,
Phkg2,1.13,0.05,,1.01,0.87,,,,,
Phlda1,-1.07,0.26,,1.10,0.12,,,,,
Phlda2,-1.02,0.84,,-1.18,0.23,,,,,
Phlda3,-1.04,0.89,,-1.29,0.07,,,,,
Phldb1,1.56,0.00,,1.21,0.07,,,,,
Phospho1,1.14,0.07,,-1.04,0.53,,,,,
Phospho2,-1.03,0.82,,1.37,0.01,,,,,
Phpt1,-1.25,0.00,,-1.27,0.00,,,,,
Phrf1,1.30,0.01,,1.39,0.00,,,,,
Phyh,1.20,0.01,,1.08,0.22,,,,,
Phyhip,1.14,0.08,,1.06,0.39,,,,,
Phyhipl,1.12,0.14,,1.24,0.01,,,,,
Pi4k2a,1.70,0.00,,1.61,0.00,,,,,
Pi4ka,1.38,0.01,,1.57,0.00,,,,,
Pi4kb,1.28,0.01,,1.32,0.00,,,,,
Pianp,-1.18,0.01,,1.03,0.67,,,,,
Pias3,1.21,0.01,,1.16,0.04,,,,,
Pias4,1.09,0.20,,-1.00,0.97,,,,,
Pick1,-1.01,0.83,,-1.08,0.17,,,,,
Pigc,-1.01,0.87,,1.10,0.10,,,,,
Pigh,1.02,0.79,,1.12,0.16,,,,,
Pigm,1.33,0.02,,1.95,0.00,,,,,
Pigp,1.02,0.98,,1.05,0.68,,,,,
Pigq,1.13,0.04,,1.08,0.20,,,,,
Pigs,1.02,0.61,,1.03,0.55,,,,,
Pigt,1.04,0.48,,1.01,0.82,,,,,
Pigw,1.46,0.00,,1.88,0.00,,,,,
Pigy,1.13,0.09,,1.31,0.00,,,,,
Pih1d1,-1.05,0.52,,-1.13,0.14,,,,,
Pik3ca,1.21,0.08,,1.59,0.00,,,,,
Pik3ip1,1.02,0.70,,1.01,0.84,,,,,
Pik3r2,1.13,0.05,,1.10,0.11,,,,,
Pim2,-1.05,0.24,,1.00,0.93,,,,,
Pim3,1.13,0.07,,-1.04,0.59,,,,,
Pin1,-1.07,0.22,,-1.15,0.02,,,,,
Pink1,1.15,0.01,,-1.07,0.18,,,,,
Pip4k2b,1.98,0.00,,2.18,0.00,,,,,
Pip4k2c,1.16,0.03,,1.15,0.03,,,,,
Pip5k1a,1.22,0.01,,1.34,0.00,,,,,
Pip5k1c,1.24,0.02,,1.21,0.03,,,,,
Pitpna,1.32,0.00,,1.41,0.00,,,,,
Pitpnb,1.04,0.52,,1.10,0.11,,,,,
Pitpnm1,1.26,0.02,,1.23,0.03,,,,,
Pitpnm2,1.32,0.00,,1.44,0.00,,,,,
Pitrm1,1.36,0.00,,1.32,0.00,,,,,
Pja1,-1.04,0.49,,1.21,0.01,,,,,
Pja2,1.33,0.01,,1.60,0.00,,,,,
Pkd1,1.47,0.00,,1.70,0.00,,,,,
Pkm,1.04,0.39,,-1.05,0.38,,,,,
Pkn1,1.40,0.00,,1.26,0.01,,,,,
Pla2g12a,1.02,0.77,,-1.05,0.51,,,,,
Pla2g15,-1.03,0.69,,1.11,0.09,,,,,
Plat,1.42,0.00,,1.29,0.00,,,,,
Plbd2,1.05,0.35,,-1.11,0.09,,,,,
Plcg1,1.34,0.00,,1.42,0.00,,,,,
Plcxd2,1.70,0.00,,1.97,0.00,,,,,
Pld2,1.39,0.01,,1.25,0.03,,,,,
Pld3,-1.03,0.47,,1.00,0.96,,,,,
Pld4,-1.01,0.94,,-1.09,0.31,,,,,
Plec,1.40,0.00,,1.62,0.00,,,,,
Plekha1,1.26,0.03,,1.40,0.01,,,,,
Plekha3,1.16,0.04,,1.22,0.01,,,,,
Plekhb1,1.10,0.19,,-1.07,0.34,,,,,
Plekhb2,1.13,0.03,,1.26,0.00,,,,,
Plekhf1,1.40,0.02,,1.07,0.46,,,,,
Plekhg5,1.38,0.00,,1.21,0.07,,,,,
Plekhh3,1.17,0.05,,1.04,0.55,,,,,
Plekhj1,-1.07,0.35,,-1.31,0.00,,,,,
Plekhm2,1.44,0.00,,1.33,0.01,,,,,
Plekhn1,1.51,0.00,,1.41,0.00,,,,,
Plekho1,-1.12,0.11,,-1.21,0.02,,,,,
Plk2,1.12,0.15,,1.30,0.00,,,,,
Pllp,1.06,0.38,,-1.13,0.09,,,,,
Plod3,1.08,0.31,,1.02,0.69,,,,,
Plp1,1.35,0.04,,1.17,0.21,,,,,
Plpp3,1.22,0.03,,1.25,0.02,,,,,
Plpp5,1.12,0.27,,1.19,0.09,,,,,
Plpp6,1.14,0.19,,1.40,0.01,,,,,
Plpp7,-1.02,0.71,,-1.01,0.81,,,,,
Plppr2,1.04,0.48,,-1.00,0.93,,,,,
Plppr3,1.02,0.87,,-1.01,0.98,,,,,
Plppr4,1.37,0.01,,1.60,0.00,,,,,
Plrg1,1.13,0.18,,1.26,0.02,,,,,
Plscr3,1.03,0.55,,-1.09,0.13,,,,,
Pltp,-1.03,0.77,,-1.20,0.06,,,,,
Plxna3,1.43,0.00,,1.66,0.00,,,,,
Plxnb2,1.31,0.05,,1.27,0.07,,,,,
Plxnb3,1.69,0.00,,1.43,0.01,,,,,
Pmepa1,-1.14,0.05,,-1.25,0.00,,,,,
Pmm1,-1.09,0.06,,-1.17,0.00,,,,,
Pmm2,1.18,0.02,,1.02,0.74,,,,,
Pmpca,1.20,0.01,,1.20,0.01,,,,,
Pmpcb,1.03,0.52,,1.05,0.26,,,,,
Pmvk,-1.12,0.08,,-1.17,0.02,,,,,
Pnck,-1.10,0.14,,-1.04,0.58,,,,,
Pnisr,1.84,0.00,,1.84,0.00,,,,,
Pnkd,1.09,0.09,,1.09,0.08,,,,,
Pnkp,1.05,0.52,,-1.08,0.53,,,,,
Pnma1,1.24,0.08,,1.30,0.02,,,,,
Pnma2,1.44,0.00,,1.82,0.00,,,,,
Pnma3,1.50,0.00,,1.50,0.00,,,,,
Pnmal1,1.39,0.01,,1.63,0.00,,,,,
Pnmal2,1.49,0.00,,1.66,0.00,,,,,
Pnn,1.68,0.00,,1.74,0.00,,,,,
Pno1,-1.04,0.57,,1.09,0.24,,,,,
Pnp,1.06,0.24,,1.01,0.77,,,,,
Pnpo,-1.17,0.20,,-1.04,0.80,,,,,
Pnrc1,-1.10,0.25,,1.15,0.10,,,,,
Pnrc2,1.09,0.27,,1.18,0.06,,,,,
Podxl2,1.02,0.68,,-1.05,0.46,,,,,
Pofut2,-1.01,0.83,,-1.11,0.05,,,,,
Pogk,1.39,0.01,,1.64,0.00,,,,,
Pold2,-1.08,0.13,,-1.07,0.18,,,,,
Pold4,-1.08,0.43,,-1.23,0.06,,,,,
Poldip2,-1.00,0.95,,1.03,0.42,,,,,
Poldip3,1.08,0.14,,1.13,0.02,,,,,
Pole3,1.09,0.13,,1.16,0.02,,,,,
Pole4,-1.10,0.14,,-1.02,0.75,,,,,
Polg,1.38,0.01,,1.46,0.00,,,,,
Poll,-1.04,0.48,,-1.10,0.07,,,,,
Polr1c,-1.15,0.01,,-1.17,0.01,,,,,
Polr2b,1.32,0.00,,1.47,0.00,,,,,
Polr2c,-1.10,0.04,,-1.08,0.09,,,,,
Polr2d,1.04,0.57,,-1.01,0.88,,,,,
Polr2e,-1.09,0.11,,-1.19,0.00,,,,,
Polr2f,-1.23,0.02,,-1.26,0.01,,,,,
Polr2g,-1.05,0.24,,-1.04,0.36,,,,,
Polr2j,-1.08,0.20,,-1.26,0.00,,,,,
Polr2k,-1.01,0.81,,1.04,0.74,,,,,
