Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle)
Rap1b,1.18,0.06,1.24,0.02
Rap1gap,1.0,0.94,1.02,0.63
Rap1gap2,1.07,0.29,1.28,0.0
Rap1gds1,1.18,0.07,1.33,0.0
Rap2a,1.72,0.0,1.6,0.01
Rap2b,1.45,0.0,1.3,0.01
Rap2c,1.31,0.06,1.96,0.0
Rapgef2,1.3,0.02,1.57,0.0
Rapgef3,1.26,0.04,1.2,0.09
Rapgef5,1.32,0.01,1.64,0.0
Rarres2,1.1,0.48,-1.25,0.1
Rars,1.08,0.35,1.22,0.02
Rasal1,1.17,0.02,1.16,0.03
Rasd1,1.1,0.35,-1.01,0.9
Rasd2,1.2,0.02,1.16,0.04
Rasgrf1,1.21,0.02,1.37,0.0
Rasgrp1,1.73,0.0,2.14,0.0
Rasip1,1.03,0.66,-1.08,0.23
Rasl10a,-1.02,0.99,1.0,0.78
Rasl10b,1.36,0.02,1.29,0.04
Rasl11b,1.01,0.87,1.03,0.64
Rasl2-9,-1.18,0.05,-1.39,0.0
Rassf1,-1.11,0.23,-1.01,0.9
Rassf7,-1.3,0.01,-1.17,0.11
Raver1,1.12,0.05,1.1,0.08
Rbbp5,1.12,0.12,1.28,0.0
Rbbp7,1.13,0.12,1.42,0.0
Rbbp9,1.24,0.04,1.51,0.0
Rbck1,1.05,0.47,-1.0,0.96
Rbfa,-1.07,0.26,-1.2,0.01
Rbfox3,1.49,0.0,1.43,0.0
Rbm10,1.16,0.06,1.2,0.03
Rbm14,1.1,0.12,1.27,0.0
Rbm17,1.0,0.98,-1.0,0.95
Rbm18,1.16,0.07,1.36,0.0
Rbm22,1.18,0.01,1.09,0.11
Rbm3,1.13,0.21,-1.2,0.09
Rbm34,1.47,0.0,1.72,0.0
Rbm4,-1.0,1.0,1.09,0.1
Rbm42,-1.08,0.14,-1.19,0.0
Rbm45,1.21,0.01,1.11,0.08
Rbm4b,1.0,0.96,1.23,0.02
Rbm5,1.28,0.01,1.42,0.0
Rbm7,1.03,0.64,1.19,0.01
Rbm8a,-1.03,0.59,-1.05,0.32
Rbmx,1.3,0.0,1.26,0.0
Rbmxrtl,-1.03,0.59,1.07,0.15
Rbp4,1.27,0.77,-1.05,0.89
Rbsn,1.49,0.0,1.71,0.0
Rbx1,-1.04,0.54,-1.07,0.31
Rcan1,1.03,0.46,1.07,0.14
Rce1,1.01,0.84,-1.08,0.07
Rchy1,1.02,0.68,1.08,0.23
Rcn1,1.03,0.78,1.08,0.41
Rcn2,-1.01,0.92,1.24,0.01
Rcn3,1.11,0.19,-1.16,0.05
Rcor2,1.15,0.11,1.1,0.25
Rdh11,-1.0,0.98,1.05,0.47
Rdh14,1.07,0.26,1.08,0.23
Rdx,1.34,0.01,1.5,0.0
Reep2,-1.01,0.73,-1.09,0.05
Reep5,1.03,0.6,1.09,0.09
Reep6,1.11,0.24,1.09,0.31
Rela,1.09,0.13,1.06,0.28
Rell2,1.04,0.39,-1.08,0.15
Rem2,1.08,0.48,1.05,0.72
Repin1,1.3,0.02,1.33,0.01
Rer1,1.04,0.44,1.04,0.45
Resp18,-1.22,0.02,-1.18,0.04
Retsat,1.3,0.12,1.35,0.08
Rexo1,1.37,0.0,1.3,0.01
Rexo2,-1.05,0.48,-1.01,0.97
Rexo4,1.06,0.43,1.21,0.02
Rfc5,1.11,0.17,1.12,0.12
Rfk,-1.02,0.85,1.21,0.03
Rfng,1.15,0.03,1.02,0.62
Rfx5,1.34,0.0,1.48,0.0
Rgcc,-1.06,0.28,-1.07,0.15
RGD1302996,-1.07,0.09,-1.12,0.01
RGD1303003,-1.04,0.32,-1.19,0.0
RGD1304567,-1.03,0.47,-1.01,0.88
RGD1304587,-1.07,0.22,-1.07,0.21
RGD1304694,1.34,0.01,1.23,0.04
RGD1304704,1.17,0.06,1.12,0.17
RGD1304884,1.84,0.0,1.83,0.0
RGD1305178,1.13,0.02,1.06,0.23
RGD1305350,1.13,0.02,1.01,0.8
RGD1305455,1.14,0.04,1.04,0.51
RGD1305464,1.23,0.05,1.18,0.11
RGD1305587,-1.25,0.02,-1.2,0.05
RGD1305713,-1.0,0.94,-1.02,0.7
RGD1305733,-1.01,0.85,-1.0,0.97
RGD1305938,1.21,0.14,1.95,0.0
RGD1306215,-1.22,0.0,-1.37,0.0
RGD1306502,1.18,0.03,1.4,0.0
RGD1306941,1.11,0.34,1.48,0.0
RGD1306954,-1.01,0.78,-1.1,0.08
RGD1307100,-1.22,0.09,-1.04,0.82
RGD1307315,-1.06,0.4,-1.07,0.37
RGD1307554,1.05,0.35,1.08,0.17
RGD1307704,-1.0,0.97,1.04,0.38
RGD1307752,-1.02,0.72,1.08,0.2
RGD1307947,1.1,0.34,1.12,0.24
RGD1308134,-1.11,0.07,-1.26,0.0
RGD1308147,1.03,0.71,1.32,0.01
RGD1308430,-1.09,0.08,-1.0,0.95
RGD1309036,-1.47,0.05,-1.66,0.01
RGD1309594,-1.09,0.15,-1.09,0.15
RGD1309676,1.1,0.15,1.1,0.15
RGD1309748,1.04,0.69,1.56,0.0
RGD1309821,1.66,0.01,1.79,0.0
RGD1310127,1.11,0.27,1.08,0.41
RGD1310352,1.03,0.57,1.07,0.26
RGD1310429,1.7,0.0,2.06,0.0
RGD1310553,1.17,0.08,1.53,0.0
RGD1310587,1.21,0.19,1.06,0.65
RGD1310769,-1.06,0.47,-1.06,0.42
RGD1311084,1.15,0.19,-1.07,0.49
RGD1311188,-1.06,0.44,-1.02,0.76
RGD1311345,1.12,0.1,1.05,0.48
RGD1311703,-1.03,0.7,-1.0,0.99
RGD1311739,-1.24,0.03,-1.21,0.05
RGD1311745,-1.04,0.63,1.21,0.02
RGD1311805,1.17,0.05,1.18,0.03
RGD1311899,-1.1,0.03,-1.08,0.09
RGD1311946,1.08,0.24,1.09,0.22
RGD1312005,1.14,0.07,1.17,0.02
RGD1359127,-1.04,0.3,-1.12,0.01
RGD1359290,-1.01,0.95,-1.31,0.0
RGD1359634,1.09,0.22,-1.04,0.63
RGD1559747,1.24,0.01,1.19,0.03
RGD1559786,1.15,0.02,1.01,0.82
RGD1559896,1.13,0.11,1.05,0.49
RGD1559909,-1.16,0.0,-1.28,0.0
RGD1560065,-1.08,0.19,1.03,0.63
RGD1560108,1.12,0.1,1.24,0.01
RGD1560212,-1.02,0.69,-1.13,0.01
RGD1560394,-1.35,0.0,-1.69,0.0
RGD1560854,1.04,0.64,1.12,0.15
RGD1561149,1.13,0.38,1.24,0.16
RGD1561157,1.2,0.11,-1.01,0.82
RGD1561849,1.12,0.16,1.38,0.0
RGD1561931,1.45,0.01,2.45,0.0
RGD1562114,-1.1,0.19,-1.25,0.01
RGD1562136,1.07,0.48,1.45,0.0
RGD1562218,1.28,0.01,1.31,0.0
RGD1562618,1.13,0.04,1.01,0.88
RGD1562747,1.09,0.19,1.0,0.96
RGD1562987,-1.04,0.57,-1.13,0.07
RGD1563049,-1.03,0.69,1.14,0.26
RGD1563441,-1.13,0.09,-1.09,0.21
RGD1563941,-1.38,0.01,-1.71,0.0
RGD1564093,-1.08,0.1,-1.23,0.0
RGD1564379,1.13,0.09,1.06,0.38
RGD1564450,-1.3,0.01,-1.41,0.0
RGD1564664,-1.01,0.78,-1.12,0.14
RGD1564804,-1.08,0.19,-1.14,0.03
RGD1565002,1.09,0.13,-1.03,0.51
RGD1565033,-1.12,0.25,-1.02,0.78
RGD1565641,1.17,0.17,1.2,0.13
RGD1565784,1.03,0.62,1.05,0.3
RGD1565844,-1.03,0.77,-1.09,0.6
RGD1566099,-1.17,0.03,-1.41,0.0
RGD1566239,-1.13,0.17,-1.65,0.0
RGD1566320,-1.2,0.01,-1.08,0.19
RGD1566401,1.63,0.0,1.41,0.0
RGD1597339,-1.02,0.69,-1.05,0.53
RGD735029,1.12,0.02,1.06,0.17
RGD735065,1.11,0.08,1.05,0.35
Rgl2,1.27,0.01,1.15,0.07
Rgma,1.13,0.12,1.09,0.27
Rgs10,-1.12,0.33,-1.16,0.2
Rgs14,1.09,0.2,1.11,0.12
Rgs19,-1.07,0.21,-1.05,0.39
Rgs2,1.06,0.47,1.22,0.03
Rgs4,-1.18,0.31,1.44,0.07
Rgs8,1.64,0.0,1.73,0.0
Rhbdd2,1.07,0.31,1.15,0.06
Rhbdd3,1.01,0.82,-1.12,0.03
Rhbdf1,1.31,0.01,1.18,0.08
Rhbdl1,-1.15,0.09,-1.27,0.01
Rheb,-1.03,0.78,1.06,0.49
Rhno1,-1.13,0.08,-1.07,0.31
Rhoa,1.19,0.0,1.07,0.18
Rhob,1.09,0.14,1.04,0.44
Rhobtb2,1.41,0.0,1.54,0.0
Rhoc,-1.1,0.22,-1.21,0.02
Rhog,1.09,0.39,-1.19,0.06
Rhot2,1.07,0.25,1.04,0.42
Rhov,-1.08,0.19,-1.11,0.12
Rhpn1,1.29,0.12,1.01,0.92
Ric8a,1.09,0.07,1.08,0.11
Rida,-1.02,0.76,-1.03,0.65
Rilpl1,1.05,0.39,1.03,0.62
Rilpl2,-1.02,0.66,-1.14,0.06
Ring1,1.02,0.73,-1.1,0.06
Riok3,1.12,0.11,1.21,0.02
Rit1,1.5,0.0,1.57,0.0
Rita1,1.05,0.38,1.03,0.54
Rlbp1,1.1,0.22,-1.03,0.78
Rmdn3,1.34,0.0,1.34,0.0
Rn18s,-5.87,0.01,-1.33,0.15
Rn28s,-1.16,0.9,1.47,0.18
Rnase4,1.0,0.98,1.06,0.33
Rnaseh2a,-1.03,0.51,-1.09,0.09
Rnasek,-1.04,0.33,-1.22,0.0
Rnasel,1.97,0.0,2.02,0.0
Rnd1,-1.22,0.04,1.0,0.97
Rnd2,-1.1,0.4,-1.2,0.11
Rnf10,1.23,0.01,1.12,0.1
Rnf103,1.05,0.56,1.43,0.0
Rnf112,1.16,0.06,1.08,0.33
Rnf113a2,-1.14,0.05,-1.07,0.31
Rnf114,1.13,0.03,1.1,0.09
Rnf11l1,1.23,0.01,1.41,0.0
Rnf123,1.3,0.0,1.28,0.0
Rnf126,1.07,0.22,-1.03,0.56
Rnf139,1.28,0.04,1.91,0.0
Rnf14,1.15,0.05,1.39,0.0
Rnf145,1.09,0.16,1.24,0.0
Rnf146,1.11,0.16,1.37,0.0
Rnf166,-1.0,0.91,-1.04,0.35
Rnf167,1.04,0.23,-1.06,0.14
Rnf181,1.05,0.32,1.07,0.18
Rnf185,1.14,0.04,1.19,0.01
Rnf187,1.03,0.51,-1.09,0.06
Rnf19a,1.23,0.06,1.63,0.0
Rnf20,1.19,0.09,1.5,0.0
Rnf208,-1.11,0.08,-1.17,0.01
Rnf215,-1.01,0.87,1.0,0.96
Rnf24,1.27,0.09,1.37,0.03
Rnf25,-1.02,0.6,-1.05,0.28
Rnf26,-1.0,0.95,1.05,0.34
Rnf31,1.06,0.24,1.05,0.3
Rnf34,1.13,0.05,1.22,0.0
Rnf39,1.12,0.12,1.1,0.16
Rnf40,1.41,0.0,1.38,0.01
Rnf41,-1.0,0.99,1.03,0.6
Rnf44,1.64,0.0,1.6,0.0
Rnf5,-1.1,0.1,-1.2,0.0
Rnf6,1.17,0.03,1.29,0.0
Rnf7,-1.13,0.12,-1.14,0.1
Rnft2,1.31,0.01,1.3,0.01
Rnh1,1.01,0.81,-1.14,0.01
Rnmt,1.28,0.02,1.48,0.0
Rnpep,1.01,0.8,-1.02,0.7
Rnpepl1,1.14,0.02,-1.07,0.2
Rnps1,1.0,0.93,-1.04,0.34
Rock2,1.3,0.02,1.83,0.0
Rogdi,-1.08,0.09,-1.11,0.03
Rom1,-1.0,0.86,-1.14,0.26
Rpap3,1.19,0.04,1.31,0.0
Rph3a,1.58,0.0,1.6,0.0
Rpl10,-1.13,0.03,-1.17,0.01
Rpl10a,-1.12,0.03,-1.21,0.0
Rpl11,-1.13,0.01,-1.25,0.0
Rpl12,-1.19,0.2,-1.37,0.04
Rpl13,-1.05,0.18,-1.26,0.0
Rpl13a,-1.44,0.0,-1.65,0.0
Rpl14,-1.15,0.02,-1.34,0.0
Rpl15,-1.09,0.18,-1.21,0.01
Rpl17,-1.48,0.03,-1.56,0.02
Rpl18,-1.32,0.0,-1.37,0.0
Rpl18a,-1.12,0.05,-1.29,0.0
Rpl19,-1.19,0.01,-1.29,0.0
Rpl21,-1.08,0.14,-1.28,0.0
Rpl22,-1.22,0.02,-1.39,0.0
Rpl22l1,-1.05,0.77,1.25,0.18
Rpl23,-1.07,0.2,-1.17,0.01
Rpl23a,-1.12,0.05,-1.15,0.02
Rpl24,-1.21,0.02,-1.34,0.0
Rpl26,-1.03,0.48,-1.1,0.05
Rpl27,-1.21,0.01,-1.26,0.0
Rpl27a,-1.11,0.1,-1.23,0.0
Rpl28,-1.27,0.0,-1.43,0.0
Rpl29,-1.12,0.02,-1.28,0.0
Rpl3,-1.02,0.64,-1.01,0.84
Rpl30,1.05,0.75,-1.11,0.29
Rpl31,-1.17,0.08,-1.24,0.02
Rpl32,-1.17,0.06,-1.54,0.0
Rpl34,-1.04,0.47,-1.3,0.0
Rpl35,-1.21,0.0,-1.31,0.0
Rpl35a,-1.12,0.06,-1.18,0.01
Rpl36,-1.22,0.02,-1.6,0.0
Rpl36a,-1.32,0.02,-1.32,0.03
Rpl36al,-1.14,0.01,-1.15,0.01
Rpl37,-1.28,0.0,-1.45,0.0
Rpl37a,-1.41,0.04,-1.36,0.06
Rpl37a-ps1,-1.09,0.1,-1.18,0.01
Rpl38,-1.14,0.01,-1.36,0.0
Rpl39,-1.04,0.46,-1.16,0.02
Rpl4,1.01,0.81,1.0,0.99
Rpl41,-1.26,0.01,-1.58,0.0
Rpl5,-1.09,0.11,-1.09,0.1
Rpl6,-1.13,0.02,-1.26,0.0
Rpl7,1.03,0.53,-1.05,0.32
Rpl7a,-1.1,0.03,-1.17,0.0
Rpl8,-1.09,0.08,-1.19,0.0
Rpl9,-1.08,0.2,-1.07,0.23
Rplp0,1.05,0.25,-1.09,0.08
Rplp1,-1.16,0.03,-1.55,0.0
Rpn1,1.04,0.31,1.06,0.12
Rpn2,1.15,0.03,1.12,0.08
Rpp14,1.12,0.1,1.14,0.06
Rpp21,-1.2,0.07,-1.64,0.0
Rpp25,-1.11,0.11,-1.09,0.17
Rpp25l,-1.07,0.3,-1.14,0.09
Rpp38,1.03,0.94,-1.04,0.66
Rprd1a,1.19,0.04,1.48,0.0
Rprm,-1.64,0.04,-1.16,0.58
Rprml,-1.14,0.13,-1.35,0.0
Rps10,-1.19,0.1,-1.39,0.0
Rps11,-1.17,0.03,-1.26,0.0
Rps12,-1.25,0.06,-1.38,0.01
Rps13,-1.08,0.15,-1.14,0.01
Rps14,-1.16,0.02,-1.23,0.0
Rps15,-1.21,0.01,-1.34,0.0
Rps15a,-1.14,0.08,-1.12,0.12
Rps16,-1.16,0.07,-1.26,0.01
Rps17,-1.13,0.08,-1.33,0.0
Rps18,-1.11,0.13,-1.24,0.01
Rps19,-1.33,0.01,-1.57,0.0
Rps19bp1,1.03,0.71,-1.17,0.16
Rps2,-1.11,0.23,-1.36,0.0
Rps20,-1.14,0.02,-1.27,0.0
Rps21,-1.5,0.01,-1.26,0.1
Rps23,-1.17,0.03,-1.29,0.0
Rps24,-1.05,0.51,-1.1,0.17
Rps25,-1.06,0.3,-1.12,0.05
Rps26,-1.06,0.37,-1.3,0.0
Rps27,-1.09,0.17,-1.3,0.0
Rps27a,-1.03,0.61,-1.12,0.07
Rps28,-1.21,0.02,-1.64,0.0
Rps29,-1.05,0.56,-1.37,0.0
Rps3,-1.12,0.05,-1.17,0.01
Rps3a,-1.05,0.36,-1.04,0.46
Rps4x,1.06,0.41,-1.14,0.06
Rps4y2,-1.03,0.63,-1.38,0.11
Rps5,-1.19,0.01,-1.27,0.0
Rps6,-1.11,0.1,-1.2,0.01
Rps6ka4,1.0,0.93,-1.0,0.96
Rps6kb2,1.2,0.02,1.1,0.18
Rps7,-1.09,0.11,-1.22,0.0
Rps8,-1.18,0.05,-1.26,0.01
Rpsa,-1.1,0.1,-1.28,0.0
Rpusd1,-1.07,0.15,-1.12,0.03
Rpusd3,-1.02,0.79,-1.24,0.0
Rraga,1.02,0.8,1.17,0.01
Rragc,1.02,0.83,1.25,0.01
Rras,-1.03,0.7,-1.21,0.06
Rrn3,1.08,0.34,1.31,0.0
Rrnad1,1.22,0.03,1.12,0.16
Rrp1,1.15,0.01,1.04,0.46
Rrp7a,1.02,0.66,-1.03,0.43
Rrp8,1.21,0.09,1.49,0.0
Rrp9,-1.0,0.96,-1.06,0.31
Rrs1,1.03,0.58,1.04,0.56
Rsl24d1,1.09,0.1,1.18,0.01
Rsrc2,1.12,0.14,1.2,0.03
Rsrp1,1.17,0.11,1.28,0.02
RT1-A1,-1.03,0.68,-1.28,0.19
RT1-A2,1.23,0.2,-1.08,0.79
RT1-CE10,1.29,0.16,-1.13,0.57
RT1-CE4,1.19,0.21,1.05,0.57
RT1-CE5,1.08,0.41,-1.1,0.76
RT1-Cl,1.07,0.57,-1.19,0.34
RT1-M3-1,1.1,0.07,-1.04,0.42
RT1-S3,1.08,0.33,-1.04,0.8
RT1-T24-4,1.07,0.54,1.04,0.63
Rtcb,-1.03,0.46,-1.05,0.23
Rtcd1,1.03,0.52,-1.02,0.77
Rtf1,1.15,0.04,1.26,0.0
Rtfdc1,1.06,0.26,1.01,0.87
Rtn1,-1.11,0.18,1.12,0.12
Rtn2,1.02,0.6,-1.07,0.13
Rtn3,1.08,0.22,1.29,0.0
Rtn4,1.24,0.03,1.54,0.0
Rtn4r,1.05,0.49,-1.07,0.36
Rtn4rl1,1.12,0.1,1.15,0.05
Rtn4rl2,1.1,0.24,1.07,0.39
Rufy3,1.43,0.0,1.56,0.0
Rundc3a,1.07,0.15,1.01,0.71
Ruvbl2,1.06,0.21,-1.06,0.2
Rwdd2a,-1.09,0.46,1.09,0.46
Rwdd2b,1.07,0.37,1.16,0.06
Rwdd4,1.13,0.17,1.37,0.0
Rxfp3,1.89,0.02,1.8,0.02
Rxrb,1.03,0.6,-1.04,0.4
S100a1,-1.16,0.06,-1.38,0.0
S100a10,1.17,0.13,-1.17,0.15
S100a13,-1.28,0.0,-1.44,0.0
S100a16,-1.15,0.06,-1.2,0.02
S100a3,-1.07,0.46,-1.21,0.2
S100a4,1.11,0.42,-1.31,0.03
S100a6,1.06,0.91,-1.23,0.48
S100b,1.02,0.68,1.02,0.76
S1pr1,1.17,0.04,1.34,0.0
S1pr5,1.18,0.13,-1.14,0.28
Sae1,-1.02,0.71,-1.01,0.93
Safb,1.1,0.18,1.19,0.03
Safb2,1.43,0.0,1.39,0.0
Sall1,1.35,0.03,1.53,0.01
Sall2,1.14,0.09,1.26,0.01
Samd10,1.09,0.29,1.22,0.02
Samd14,1.4,0.0,1.14,0.16
Samd4b,1.07,0.31,1.13,0.07
Samm50,-1.05,0.42,-1.01,0.79
Sap18,-1.09,0.47,-1.3,0.04
Sap30bp,1.16,0.02,1.09,0.16
Sapcd1,1.23,0.06,-1.17,0.13
Sar1a,1.1,0.06,1.16,0.01
Sar1b,1.05,0.55,1.14,0.19
Saraf,1.0,1.0,1.13,0.01
Sarm1,1.37,0.01,1.47,0.0
Sars,1.06,0.18,1.02,0.6
Sart1,1.19,0.01,1.11,0.09
Sart3,1.23,0.0,1.29,0.0
Sat1,1.3,0.0,1.16,0.04
Sat2,-1.03,0.67,-1.18,0.04
Sbds,1.02,0.72,-1.04,0.45
Sbf1,1.37,0.01,1.3,0.02
Sbno1,1.61,0.0,1.98,0.0
Sc5d,1.71,0.0,2.05,0.0
Scaf1,1.18,0.03,1.12,0.1
Scamp1,1.12,0.13,1.32,0.0
Scamp3,1.02,0.65,-1.05,0.29
Scamp4,-1.01,0.95,-1.09,0.15
Scamp5,1.71,0.0,1.87,0.0
Scand1,-1.21,0.02,-1.72,0.0
Scap,1.22,0.02,1.21,0.02
Scara3,1.27,0.0,1.17,0.04
Scarb2,2.07,0.0,2.12,0.0
Scd,1.33,0.01,1.45,0.0
Scd2,1.44,0.0,1.53,0.0
Scg2,1.07,0.25,1.11,0.09
Scg3,1.15,0.04,1.24,0.0
Scg5,-1.11,0.1,-1.06,0.33
Scn1b,1.15,0.15,-1.07,0.42
Scn2a,1.4,0.01,2.0,0.0
Scn2b,1.93,0.0,2.08,0.0
Scn3b,1.36,0.01,1.45,0.0
Scn4b,1.57,0.01,1.31,0.06
Scnm1,1.01,0.87,-1.1,0.14
Scoc,1.04,0.67,1.35,0.01
Scp2,1.03,0.57,-1.02,0.74
Scrib,1.35,0.0,1.23,0.02
Scrt1,1.79,0.0,1.64,0.01
Scyl1,1.09,0.07,1.01,0.87
Sdc3,1.13,0.07,1.32,0.0
Sdc4,-1.03,0.58,-1.06,0.36
Sdcbp,1.08,0.28,1.33,0.0
Sdccag3,1.19,0.01,1.16,0.02
Sde2,1.07,0.26,1.17,0.02
Sdf2,-1.04,0.41,-1.09,0.08
Sdf2l1,-1.23,0.01,-1.17,0.05
Sdf4,1.15,0.04,1.1,0.14
Sdha,1.14,0.05,1.25,0.0
Sdhaf2,1.08,0.28,1.14,0.07
Sdhb,-1.05,0.26,-1.08,0.09
Sdhc,-1.01,0.76,-1.11,0.03
Sdhd,1.01,0.9,1.18,0.01
Sdr39u1,-1.08,0.21,-1.05,0.37
Sec11c,-1.03,0.57,-1.16,0.01
Sec13,1.11,0.1,1.08,0.18
Sec14l1,1.48,0.0,1.52,0.0
Sec14l2,1.13,0.08,1.12,0.09
Sec16a,1.54,0.0,1.64,0.0
Sec22b,1.2,0.01,1.28,0.0
Sec23a,1.43,0.0,1.61,0.0
Sec24c,1.25,0.01,1.32,0.0
Sec31a,1.19,0.05,1.24,0.02
Sec61a1,1.09,0.11,1.1,0.1
Sec61a2,1.2,0.01,1.33,0.0
Sec61b,-1.02,0.7,-1.03,0.64
Sec61g,-1.05,0.45,-1.12,0.13
Sec62,1.17,0.02,1.22,0.01
Sec63,1.28,0.01,1.53,0.0
Secisbp2l,1.83,0.0,2.06,0.0
Sel1l,1.43,0.0,1.79,0.0
Selenoh,-1.19,0.01,-1.29,0.0
Selenok,-1.12,0.21,-1.15,0.13
Selenom,-1.12,0.13,-1.45,0.0
Selenoo,1.1,0.07,-1.01,0.91
Selenop,1.15,0.07,1.24,0.01
Selenos,1.04,0.38,-1.04,0.4
Selenot,1.37,0.01,1.82,0.0
Selenow,-1.18,0.02,-1.39,0.0
Selplg,1.05,0.48,-1.13,0.22
Sem1,-1.13,0.03,-1.25,0.0
Sema3g,1.65,0.0,1.6,0.0
Sema4a,1.12,0.12,1.09,0.21
Sema4c,1.16,0.06,1.16,0.06
Sema4d,1.43,0.0,1.35,0.01
Sema4f,1.01,0.89,1.15,0.05
Sema4g,1.27,0.03,1.27,0.03
Sema6b,1.09,0.11,1.1,0.08
Sema6c,1.17,0.13,1.06,0.48
Sema7a,1.35,0.01,1.24,0.05
Senp3,1.11,0.06,1.09,0.12
Sephs2,1.13,0.02,1.02,0.64
Serbp1,1.15,0.03,1.18,0.01
Serf2,-1.11,0.02,-1.31,0.0
Serinc1,1.11,0.25,1.4,0.0
Serinc3,1.19,0.02,1.4,0.0
Serp1,1.09,0.37,1.5,0.0
Serp2,-1.28,0.01,-1.32,0.0
Serpinb6,-1.13,0.17,-1.04,0.68
Serpine2,1.09,0.25,1.18,0.03
Serpinh1,1.07,0.63,1.14,0.27
Serpini1,1.19,0.11,1.65,0.0
Sertad1,-1.22,0.04,-1.18,0.09
Sertad4,1.23,0.05,1.18,0.1
Sertm1,1.18,0.05,1.48,0.0
Set,1.09,0.36,1.22,0.05
Setd3,1.16,0.02,1.16,0.02
Setd5,1.33,0.01,1.59,0.0
Setd6,1.01,0.87,-1.02,0.81
Setdb1,1.41,0.0,1.49,0.0
Sez6,1.13,0.05,1.2,0.0
Sez6l,1.67,0.0,1.9,0.0
Sez6l2,1.11,0.11,1.14,0.05
Sf1,1.21,0.0,1.26,0.0
Sf3a1,1.17,0.02,1.25,0.0
Sf3a2,1.01,0.92,-1.17,0.01
Sf3a3,1.17,0.04,1.18,0.03
Sf3b1,1.54,0.0,1.93,0.0
Sf3b2,1.13,0.03,1.14,0.02
Sf3b3,1.11,0.12,1.33,0.0
Sf3b4,1.01,0.85,-1.06,0.2
Sf3b5,-1.23,0.0,-1.32,0.0
Sf3b6,1.02,0.88,-1.14,0.14
Sfpq,1.21,0.04,1.4,0.0
Sfr1,1.2,0.05,1.33,0.01
Sft2d3,1.01,0.9,1.16,0.12
Sfxn1,1.28,0.01,1.6,0.0
Sfxn3,1.1,0.08,1.14,0.02
Sgcb,1.18,0.06,1.4,0.0
Sgk1,2.0,0.0,1.32,0.1
Sgsm1,1.2,0.04,1.28,0.01
Sgsm2,1.27,0.0,1.25,0.01
Sgsm3,1.1,0.08,1.08,0.17
Sgta,1.13,0.05,1.02,0.74
Sh2b1,1.12,0.04,1.14,0.02
Sh2b3,1.2,0.01,1.18,0.02
Sh3bgrl3,-1.12,0.1,-1.2,0.01
Sh3bp5,1.18,0.06,1.17,0.06
Sh3bp5l,1.12,0.08,1.09,0.17
Sh3gl1,1.14,0.02,1.06,0.23
Sh3gl2,1.33,0.01,1.32,0.01
Sh3glb2,-1.01,0.8,-1.08,0.06
Shank1,1.93,0.0,1.88,0.0
Shank3,1.66,0.0,1.49,0.01
Sharpin,1.02,0.51,-1.07,0.06
Shbg,1.11,0.1,-1.04,0.49
Shc1,1.45,0.0,1.25,0.03
Shc2,1.16,0.02,1.18,0.01
Shd,-1.08,0.22,-1.19,0.01
Shisa4,-1.0,1.0,-1.04,0.54
Shisa5,1.01,0.95,1.01,0.89
Shisa7,1.32,0.0,1.49,0.0
Shmt2,1.06,0.22,1.05,0.27
Siah1,1.11,0.16,1.19,0.04
Sidt2,1.26,0.01,1.22,0.03
Sigmar1,-1.05,0.14,-1.1,0.02
Sike1,1.04,0.46,1.16,0.02
Sin3b,1.45,0.0,1.39,0.0
Sipa1,1.51,0.0,1.26,0.03
Sipa1l1,1.56,0.0,1.82,0.0
Sipa1l3,1.07,0.48,1.16,0.15
Sirpa,1.16,0.01,1.28,0.0
Sirt2,1.09,0.09,-1.08,0.11
Sirt3,-1.0,0.94,-1.1,0.06
Sirt5,-1.05,0.26,-1.01,0.78
Sirt6,-1.07,0.23,-1.15,0.03
Sirt7,1.15,0.02,1.02,0.74
Siva1,1.05,0.76,-1.17,0.16
Skiv2l,1.1,0.16,1.08,0.24
Skp1,1.1,0.2,1.29,0.0
Slbp,-1.04,0.67,1.07,0.42
Slc10a3,1.15,0.3,1.13,0.31
Slc11a2,1.3,0.0,1.31,0.0
Slc12a5,1.25,0.0,1.39,0.0
Slc15a2,1.42,0.0,1.59,0.0
Slc16a1,1.26,0.03,1.43,0.0
Slc16a11,1.15,0.58,-1.11,0.62
Slc16a13,1.17,0.17,-1.09,0.61
Slc17a7,1.21,0.04,1.14,0.14
Slc1a3,1.39,0.01,1.54,0.0
Slc20a1,1.21,0.01,1.29,0.0
Slc22a17,-1.07,0.17,-1.11,0.05
Slc23a2,1.27,0.01,1.42,0.0
Slc24a2,2.17,0.0,2.72,0.0
Slc25a1,-1.03,0.65,-1.15,0.03
Slc25a10,1.01,0.84,-1.05,0.32
Slc25a11,-1.07,0.12,1.01,0.85
Slc25a17,1.16,0.03,1.16,0.03
Slc25a18,-1.01,0.98,1.03,0.68
Slc25a20,-1.0,0.97,-1.01,0.87
Slc25a23,1.53,0.0,1.4,0.01
Slc25a25,1.03,0.47,1.07,0.14
Slc25a27,1.23,0.03,1.25,0.02
Slc25a28,1.15,0.01,1.06,0.23
Slc25a29,1.0,0.94,-1.1,0.16
